Date,Underlying,Type,Strike,Maturity,Mid,UnderlyingPrice,Rate,Dividend
2024-01-02,UNDER,P,320,2024-02-01,0.003493899167953601,400.0,0.02,0.0
2024-01-02,UNDER,P,330,2024-02-01,0.012341675704536342,400.0,0.02,0.0
2024-01-02,UNDER,P,340,2024-02-01,0.04082454129748398,400.0,0.02,0.0
2024-01-02,UNDER,P,350,2024-02-01,0.12442867192795772,400.0,0.02,0.0
2024-01-02,UNDER,P,360,2024-02-01,0.33948520152610434,400.0,0.02,0.0
2024-01-02,UNDER,P,370,2024-02-01,0.873648451851935,400.0,0.02,0.0
2024-01-02,UNDER,P,380,2024-02-01,1.982449433076698,400.0,0.02,0.0
2024-01-02,UNDER,P,390,2024-02-01,4.223865855761021,400.0,0.02,0.0
2024-01-02,UNDER,C,400,2024-02-01,8.515289513334887,400.0,0.02,0.0
2024-01-02,UNDER,C,410,2024-02-01,4.761004247174119,400.0,0.02,0.0
2024-01-02,UNDER,C,420,2024-02-01,2.468694554127672,400.0,0.02,0.0
2024-01-02,UNDER,C,430,2024-02-01,1.2163225074417967,400.0,0.02,0.0
2024-01-02,UNDER,C,440,2024-02-01,0.5862246750151041,400.0,0.02,0.0
2024-01-02,UNDER,C,450,2024-02-01,0.2710817093553711,400.0,0.02,0.0
2024-01-02,UNDER,C,460,2024-02-01,0.12326062023728644,400.0,0.02,0.0
2024-01-02,UNDER,C,470,2024-02-01,0.057358598017989634,400.0,0.02,0.0
2024-01-02,UNDER,C,480,2024-02-01,0.027229884597652052,400.0,0.02,0.0
2024-01-02,UNDER,P,320,2024-03-02,0.08391991134422949,400.0,0.02,0.0
2024-01-02,UNDER,P,330,2024-03-02,0.18308259873513905,400.0,0.02,0.0
2024-01-02,UNDER,P,340,2024-03-02,0.37417492530572105,400.0,0.02,0.0
2024-01-02,UNDER,P,350,2024-03-02,0.7470077457013301,400.0,0.02,0.0
2024-01-02,UNDER,P,360,2024-03-02,1.4054306814491813,400.0,0.02,0.0
2024-01-02,UNDER,P,370,2024-03-02,2.5704583746741254,400.0,0.02,0.0
2024-01-02,UNDER,P,380,2024-03-02,4.325529834957117,400.0,0.02,0.0
2024-01-02,UNDER,P,390,2024-03-02,7.112682790295611,400.0,0.02,0.0
2024-01-02,UNDER,C,400,2024-03-02,12.341226295012278,400.0,0.02,0.0
2024-01-02,UNDER,C,410,2024-03-02,8.339984438384413,400.0,0.02,0.0
2024-01-02,UNDER,C,420,2024-03-02,5.580746877938585,400.0,0.02,0.0
2024-01-02,UNDER,C,430,2024-03-02,3.5909586009626944,400.0,0.02,0.0
2024-01-02,UNDER,C,440,2024-03-02,2.3649568769555294,400.0,0.02,0.0
2024-01-02,UNDER,C,450,2024-03-02,1.5455243673192476,400.0,0.02,0.0
2024-01-02,UNDER,C,460,2024-03-02,0.9858635376026822,400.0,0.02,0.0
2024-01-02,UNDER,C,470,2024-03-02,0.6497844292486832,400.0,0.02,0.0
2024-01-02,UNDER,C,480,2024-03-02,0.4283353199636231,400.0,0.02,0.0
2024-01-02,UNDER,P,320,2024-05-01,0.5462136769257488,400.0,0.02,0.0
2024-01-02,UNDER,P,330,2024-05-01,0.9227336566851385,400.0,0.02,0.0
2024-01-02,UNDER,P,340,2024-05-01,1.5043738374213294,400.0,0.02,0.0
2024-01-02,UNDER,P,350,2024-05-01,2.385369773600246,400.0,0.02,0.0
2024-01-02,UNDER,P,360,2024-05-01,3.6997724235702334,400.0,0.02,0.0
2024-01-02,UNDER,P,370,2024-05-01,5.373693515320315,400.0,0.02,0.0
2024-01-02,UNDER,P,380,2024-05-01,8.047269298769159,400.0,0.02,0.0
2024-01-02,UNDER,P,390,2024-05-01,11.30284388090429,400.0,0.02,0.0
2024-01-02,UNDER,C,400,2024-05-01,17.758899102216475,400.0,0.02,0.0
2024-01-02,UNDER,C,410,2024-05-01,13.87865266284911,400.0,0.02,0.0
2024-01-02,UNDER,C,420,2024-05-01,10.56714171209994,400.0,0.02,0.0
2024-01-02,UNDER,C,430,2024-05-01,8.168222168917483,400.0,0.02,0.0
2024-01-02,UNDER,C,440,2024-05-01,6.450672636631159,400.0,0.02,0.0
2024-01-02,UNDER,C,450,2024-05-01,4.954365524230644,400.0,0.02,0.0
2024-01-02,UNDER,C,460,2024-05-01,3.888295643092943,400.0,0.02,0.0
2024-01-02,UNDER,C,470,2024-05-01,3.0467006116161435,400.0,0.02,0.0
2024-01-02,UNDER,C,480,2024-05-01,2.451103338612258,400.0,0.02,0.0
2024-01-02,UNDER,P,320,2024-06-30,1.1668608628440442,400.0,0.02,0.0
2024-01-02,UNDER,P,330,2024-06-30,1.7893488742548636,400.0,0.02,0.0
2024-01-02,UNDER,P,340,2024-06-30,2.695098182166286,400.0,0.02,0.0
2024-01-02,UNDER,P,350,2024-06-30,3.936751724387066,400.0,0.02,0.0
2024-01-02,UNDER,P,360,2024-06-30,5.630320512453949,400.0,0.02,0.0
2024-01-02,UNDER,P,370,2024-06-30,7.729405417492433,400.0,0.02,0.0
2024-01-02,UNDER,P,380,2024-06-30,10.66946955999288,400.0,0.02,0.0
2024-01-02,UNDER,P,390,2024-06-30,13.92456137663141,400.0,0.02,0.0
2024-01-02,UNDER,C,400,2024-06-30,22.266037745592737,400.0,0.02,0.0
2024-01-02,UNDER,C,410,2024-06-30,18.269291416917888,400.0,0.02,0.0
2024-01-02,UNDER,C,420,2024-06-30,14.968931028003775,400.0,0.02,0.0
2024-01-02,UNDER,C,430,2024-06-30,12.254717953557034,400.0,0.02,0.0
2024-01-02,UNDER,C,440,2024-06-30,10.165049867440578,400.0,0.02,0.0
2024-01-02,UNDER,C,450,2024-06-30,8.37458410848812,400.0,0.02,0.0
2024-01-02,UNDER,C,460,2024-06-30,7.0052094834189935,400.0,0.02,0.0
2024-01-02,UNDER,C,470,2024-06-30,6.033708125844968,400.0,0.02,0.0
2024-01-02,UNDER,C,480,2024-06-30,5.175272443079036,400.0,0.02,0.0
